"id","move_type","name","invoice_date","invoice_date_due","partner_id/name","partner_id/vat","ref","invoice_line_ids/sequence","invoice_line_ids/name","invoice_line_ids/account_id/code","invoice_line_ids/quantity","invoice_line_ids/price_unit","invoice_line_ids/tax_ids/id"
"__export__.account_move_sol_inv1","out_invoice","INV-1","2026-04-14","2026-05-14","KPMG Professional Services","300085464810003","e-Inv: 140426172949441","1","Technical Consulting Service - Monthly Services Jan 2026","400200","1","69281.25","__import__.tax_sale_15"
"","","","","","","","","2","Technical Consulting Service - Monthly Services Feb 2026","400200","1","69281.25","__import__.tax_sale_15"
"","","","","","","","","3","Technical Consulting Service - Monthly Services Mar 2026","400200","1","69281.25","__import__.tax_sale_15"
"__export__.account_move_sol_cn1","out_refund","CN-1","2026-05-10","2026-05-10","KPMG Professional Services","300085464810003","e-Inv: 100526173705401 | Reversal of INV-1 dt.14-Apr-26","1","Credit Note - Reversal Monthly Services Jan 2026","400200","1","69281.25","__import__.tax_sale_15"
"","","","","","","","","2","Credit Note - Reversal Monthly Services Feb 2026","400200","1","69281.25","__import__.tax_sale_15"
"","","","","","","","","3","Credit Note - Reversal Monthly Services Mar 2026","400200","1","69281.25","__import__.tax_sale_15"
"__export__.account_move_sol_inv2","out_invoice","INV-2","2026-04-14","2026-05-14","SOL Gulf Communications","311302878400003","e-Inv: 140426175549442","1","Technical Consulting Service - Outsource","400300","1","68233.72","__import__.tax_sale_15"
"__export__.account_move_sol_inv3","out_invoice","INV-3","2026-05-13","2026-06-13","KPMG Professional Services","300085464810003","e-Inv: 130526184134443 | PO: SA0000010718","1","Technical Consulting Service - Monthly Services Jan 2026","400200","1","69281.25","__import__.tax_sale_15"
"","","","","","","","","2","Technical Consulting Service - Monthly Services Feb 2026","400200","1","69281.25","__import__.tax_sale_15"
"","","","","","","","","3","Technical Consulting Service - Monthly Services Mar 2026","400200","1","69281.25","__import__.tax_sale_15"
"__export__.account_move_sol_inv4","out_invoice","INV-4","2026-05-18","2026-06-18","SOL Gulf Communications","311302878400003","e-Inv: 180526205721444","1","Technical Consulting Service","400300","1","24133.72","__import__.tax_sale_15"
"__export__.account_move_sol_inv5","out_invoice","INV-5","2026-05-31","2026-06-30","KPMG Professional Services","300085464810003","e-Inv: 310526190906445 | PO: SA0000010718","1","Technical Consulting Service - Monthly Services Apr 2026","400200","1","69281.25","__import__.tax_sale_15"
"__export__.account_move_sol_inv6","out_invoice","INV-6","2026-06-02","2026-07-02","KPMG Professional Services","300085464810003","e-Inv: 020626195919446 | PO: SA0000010718","1","Technical Consulting Service - Monthly Services May 2026","400200","1","69281.25","__import__.tax_sale_15"
